timestamp_utc,index,spot,net_gex,gamma_ratio,zero_gamma,near_density
2025-10-08T13:45:36Z,SPX,6726.7798,,,,
2025-10-08T16:12:03Z,SPX,6753.0801,18.70855609904573,3.5063717995518653,6705.901306220262,31.23001431505168
2025-10-08T16:15:01Z,SPX,6752.4102,17.73933529375828,3.3730004675093217,6722.301962814326,30.48540006993885
2025-10-08T16:44:02Z,SPX,6750.8301,18.19264558822673,3.199553578316095,6695.27254552303,31.904648365717826
2025-10-08T17:11:05Z,SPX,6747.2998,16.911253921777288,2.908372600555256,6692.086692028811,32.155965155074384
2025-10-08T17:38:17Z,SPX,6752.8198,19.748010841163367,3.673936976175274,6721.836839452766,32.652378549766325
2025-10-08T18:18:32Z,SPX,6750.8799,19.450374931246536,3.472466649634473,6721.281470451437,33.30422518407425
2025-10-08T18:47:42Z,SPX,6751.7998,22.67996891319816,4.22366803288647,6689.491080682846,35.02061213338477
2025-10-08T19:09:38Z,SPX,6746.6001,20.048552283345582,3.53605705149132,6724.275733646385,34.6410850730171
2025-10-08T19:34:24Z,SPX,6751.9102,24.159006690881967,5.076827446830691,6638.546730034426,34.63004000709936
2025-10-09T13:49:12Z,SPX,6759.8398,19.607488098840417,2.235951229136933,6728.484285344,47.97610466253482
2025-10-09T14:12:55Z,SPX,6744.6499,4.378876026217826,1.2116981942890923,6723.284232042924,42.05623708042311
2025-10-09T14:52:52Z,SPX,6731.0498,-9.157860421184928,0.6581571350932708,6725.19178051334,39.87544778721714
2025-10-09T15:28:35Z,SPX,6739.2202,-3.2125755127762208,0.8681813476335289,6718.294566648217,41.77892574717272
2025-10-09T15:49:16Z,SPX,6730.6699,-11.611746671319407,0.598019952752437,6727.971794469535,41.76503579713265
2025-10-09T16:16:25Z,SPX,6739.1001,-4.779231149626462,0.8114933751283364,6722.567109192145,42.344669081496384
2025-10-09T16:46:02Z,SPX,6732.8599,-10.974075223700805,0.61999415123255,6719.938409546077,43.11626078743689
2025-10-09T17:11:28Z,SPX,6727.4302,-15.467525446086468,0.5166725651702144,6723.390860677128,43.70147172025943
2025-10-09T17:38:35Z,SPX,6721.0601,-20.82376898585193,0.4032781902641704,6730.364061746376,44.20250073303488
2025-10-09T18:17:14Z,SPX,6723.8101,-25.75260341573913,0.3279589073612906,6782.902259241793,47.36206820006944
2025-10-09T18:46:09Z,SPX,6721.71,-29.65813890277921,0.3199304021091752,6729.658427034735,53.3655324254304
2025-10-09T19:10:25Z,SPX,6720.29,-34.822902221404014,0.27995216685402596,6738.020057609712,57.848847759000066
